Tanggal,"Tipe Transaksi",Referensi,"ID Lot Masuk/Dipakai","Qty Masuk (g)","Harga Satuan (Rp/g)","Qty Keluar (g)","HPP/Nilai (Rp)","Saldo Akhir (g)"
"2026-07-10 11:41:52",Masuk,"Pembelian #1",1,300,200,,60000,300
"2026-07-10 11:41:52",Masuk,"Pembelian #2",5,5000,220,,1100000,5300
"2026-07-10 11:41:53",Keluar,"Penjualan #1",1,,200,36,7200,5264
"2026-07-10 11:41:53",Keluar,"Penjualan #2",1,,200,18,3600,5246
"2026-07-10 11:41:53",Keluar,"Penjualan #2",1,,200,36,7200,5210
"2026-07-10 11:41:53",Keluar,"Penjualan #3",1,,200,54,10800,5156
"2026-07-10 11:41:53",Keluar,"Penjualan #4",1,,200,18,3600,5138
"2026-07-10 11:41:53",Keluar,"Penjualan #4",1,,200,18,3600,5120
"2026-07-10 11:41:53",Keluar,"Penjualan #5",1,,200,36,7200,5084
"2026-07-10 11:41:53",Keluar,"Penjualan #5",1,,200,18,3600,5066
"2026-07-10 11:41:53",Keluar,"Penjualan #6",1,,200,18,3600,5048
"2026-07-10 11:41:53",Keluar,"Penjualan #6",1,,200,36,7200,5012
"2026-07-10 11:41:53",Keluar,"Penjualan #7",1,,200,12,2400,5000
"2026-07-10 11:41:53",Keluar,"Penjualan #7",5,,220,42,9240,4958
"2026-07-10 11:41:53",Keluar,"Penjualan #8",5,,220,36,7920,4922
"2026-07-10 11:41:53",Keluar,"Penjualan #8",5,,220,18,3960,4904
"2026-07-10 11:41:53",Keluar,"Penjualan #9",5,,220,18,3960,4886
"2026-07-10 11:41:53",Keluar,"Penjualan #9",5,,220,18,3960,4868
"2026-07-10 11:41:53",Keluar,"Penjualan #9",5,,220,18,3960,4850
"2026-07-10 11:41:53",Keluar,"Penjualan #10",5,,220,72,15840,4778
"2026-07-11 14:47:14",Keluar,"Penjualan #11",5,,220,23,5060,4755
"2026-07-11 14:47:14",Keluar,"Penjualan #11",5,,220,18,3960,4737
